Año,id Num,ESTU_DEPTO_PRESENTACION,Puntaje,Frec Biologia,Frec Matematicas,Frec Fisica,Frec Lenguaje
2005,05,ANTIOQUIA,,,,,
2005,05,ANTIOQUIA,-1,,1,,
2005,05,ANTIOQUIA,0,28,45,42,
2005,05,ANTIOQUIA,1,,,,
2005,05,ANTIOQUIA,2,,,,
2005,05,ANTIOQUIA,3,,,,
2005,05,ANTIOQUIA,4,,,,
2005,05,ANTIOQUIA,5,,,,
2005,05,ANTIOQUIA,6,,,,
2005,05,ANTIOQUIA,7,,,,
2005,05,ANTIOQUIA,8,,,,
2005,05,ANTIOQUIA,9,,,,16
2005,05,ANTIOQUIA,10,,,1,1
2005,05,ANTIOQUIA,11,,,,
2005,05,ANTIOQUIA,12,,14,,
2005,05,ANTIOQUIA,13,,,,
2005,05,ANTIOQUIA,14,,,,
2005,05,ANTIOQUIA,15,,,,2
2005,05,ANTIOQUIA,16,,337,20,
2005,05,ANTIOQUIA,17,1,,,84
2005,05,ANTIOQUIA,18,,,,
2005,05,ANTIOQUIA,19,,,377,
2005,05,ANTIOQUIA,20,,,,
2005,05,ANTIOQUIA,21,15,,,
2005,05,ANTIOQUIA,22,217,49,,231
2005,05,ANTIOQUIA,23,,,,20
2005,05,ANTIOQUIA,24,,,,
2005,05,ANTIOQUIA,25,,,,
2005,05,ANTIOQUIA,26,,1223,49,473
2005,05,ANTIOQUIA,27,,,,
2005,05,ANTIOQUIA,28,,,1378,44
2005,05,ANTIOQUIA,29,63,107,,1086
2005,05,ANTIOQUIA,30,875,,,
2005,05,ANTIOQUIA,31,,,,
2005,05,ANTIOQUIA,32,,3288,142,1950
2005,05,ANTIOQUIA,33,146,,,
2005,05,ANTIOQUIA,34,2383,253,3532,
2005,05,ANTIOQUIA,35,,,,3070
2005,05,ANTIOQUIA,36,,5966,250,
2005,05,ANTIOQUIA,37,224,,,3794
2005,05,ANTIOQUIA,38,4368,344,,227
2005,05,ANTIOQUIA,39,,,6302,
2005,05,ANTIOQUIA,40,304,8478,392,4603
2005,05,ANTIOQUIA,41,6444,,,289
2005,05,ANTIOQUIA,42,346,408,8800,5464
2005,05,ANTIOQUIA,43,7804,9539,397,302
2005,05,ANTIOQUIA,44,358,,,5861
2005,05,ANTIOQUIA,45,7665,384,,319
2005,05,ANTIOQUIA,46,,8987,10070,6105
2005,05,ANTIOQUIA,47,7200,,,
2005,05,ANTIOQUIA,48,231,7395,9236,298
2005,05,ANTIOQUIA,49,5623,,275,5905
2005,05,ANTIOQUIA,50,134,,,225
2005,05,ANTIOQUIA,51,4277,5043,7145,5232
2005,05,ANTIOQUIA,52,100,,,145
2005,05,ANTIOQUIA,53,3322,3103,,4511
2005,05,ANTIOQUIA,54,59,,4672,77
2005,05,ANTIOQUIA,55,2277,1734,,
2005,05,ANTIOQUIA,56,1654,65,2853,3449
2005,05,ANTIOQUIA,57,31,983,,
2005,05,ANTIOQUIA,58,1160,,1458,37
2005,05,ANTIOQUIA,59,15,32,,2447
2005,05,ANTIOQUIA,60,748,588,816,
2005,05,ANTIOQUIA,61,13,20,24,23
2005,05,ANTIOQUIA,62,483,330,,1570
2005,05,ANTIOQUIA,63,7,,406,11
2005,05,ANTIOQUIA,64,321,240,,
2005,05,ANTIOQUIA,65,8,,260,
2005,05,ANTIOQUIA,66,178,,,856
2005,05,ANTIOQUIA,67,,114,149,
2005,05,ANTIOQUIA,68,3,,3,
2005,05,ANTIOQUIA,69,88,75,,5
2005,05,ANTIOQUIA,70,,2,100,
2005,05,ANTIOQUIA,71,56,,,385
2005,05,ANTIOQUIA,72,,51,,
2005,05,ANTIOQUIA,73,,1,50,
2005,05,ANTIOQUIA,74,,,,
2005,05,ANTIOQUIA,75,22,37,30,
2005,05,ANTIOQUIA,76,,,1,
2005,05,ANTIOQUIA,77,,,,
2005,05,ANTIOQUIA,78,,,,1
2005,05,ANTIOQUIA,79,,14,17,129
2005,05,ANTIOQUIA,80,6,,1,
2005,05,ANTIOQUIA,81,,,,
2005,05,ANTIOQUIA,82,,,14,
2005,05,ANTIOQUIA,83,,10,,
2005,05,ANTIOQUIA,84,,,,
2005,05,ANTIOQUIA,85,,,,18
2005,05,ANTIOQUIA,86,,,,
2005,05,ANTIOQUIA,87,6,,2,
2005,05,ANTIOQUIA,88,,,,
2005,05,ANTIOQUIA,89,,4,,
2005,05,ANTIOQUIA,90,,,,
2005,05,ANTIOQUIA,91,1,,,
2005,05,ANTIOQUIA,92,,,,
2005,05,ANTIOQUIA,93,,,1,
2005,05,ANTIOQUIA,94,,,,
2005,05,ANTIOQUIA,95,,,,
2005,05,ANTIOQUIA,96,,,,
